id_short,obra,n,archivo,inicio_s,zoom,desfase_s,frase_en_pantalla,yt_titulo,yt_descripcion,yt_etiquetas,yt_video_relacionado,tiktok_portada,tiktok_descripcion,estado,fecha_youtube,url_youtube,fecha_tiktok,url_tiktok
OBRA-001-S1,OBRA-001,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 432 Hz · Ocean Waves,"Save this for tonight.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · Bottomless Night · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · sleep,"Save this for tonight. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-001-S2,OBRA-001,2,short-2.mp4,2761,1.15,9.6,let the day go quiet,Let the day go quiet · 432 Hz · Ocean Waves,"Lights off, volume low.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · Bottomless Night · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · night,"Lights off, volume low. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-001-S3,OBRA-001,3,short-3.mp4,5432,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 432 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · Bottomless Night · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · rest,"Stay until your breathing slows. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-001-S4,OBRA-001,4,short-4.mp4,8104,1.08,28.8,for the hour before sleep,For the hour before sleep · 432 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · Bottomless Night · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · dark room,"The quiet hour before sleep. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-001-S5,OBRA-001,5,short-5.mp4,10775,1.22,38.4,the house is asleep,The house is asleep · 432 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (3 h): Sleep Music · Ocean Waves · 432 Hz · Bottomless Night · 3 Hours

#sleepmusic #sleep #relaxingmusic #432hz #shorts","sleep music, deep sleep, 432 hz, ocean waves, Rin",,432 Hz · drift off,"Send this to someone who can't sleep. Full 3 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #432hz #meditation",pendiente,,,,
OBRA-002-S1,OBRA-002,1,short-1.mp4,90,1.0,0,to fall asleep,To fall asleep · 528 Hz · Ocean Waves,"Save this for tonight.
Full piece (2 h): Sleep Music · Ocean Waves · 528 Hz · Low Tide · 2 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · sleep,"Save this for tonight. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-002-S2,OBRA-002,2,short-2.mp4,1861,1.15,9.6,let the day go quiet,Let the day go quiet · 528 Hz · Ocean Waves,"Lights off, volume low.
Full piece (2 h): Sleep Music · Ocean Waves · 528 Hz · Low Tide · 2 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · night,"Lights off, volume low. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-002-S3,OBRA-002,3,short-3.mp4,3632,1.3,19.2,"lights off, breathe slower","Lights off, breathe slower · 528 Hz · Ocean Waves","Stay until your breathing slows.
Full piece (2 h): Sleep Music · Ocean Waves · 528 Hz · Low Tide · 2 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · rest,"Stay until your breathing slows. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-002-S4,OBRA-002,4,short-4.mp4,5404,1.08,28.8,for the hour before sleep,For the hour before sleep · 528 Hz · Ocean Waves,"The quiet hour before sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 528 Hz · Low Tide · 2 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · dark room,"The quiet hour before sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
OBRA-002-S5,OBRA-002,5,short-5.mp4,7175,1.22,38.4,the house is asleep,The house is asleep · 528 Hz · Ocean Waves,"Send this to someone who can't sleep.
Full piece (2 h): Sleep Music · Ocean Waves · 528 Hz · Low Tide · 2 Hours

#sleepmusic #sleep #relaxingmusic #528hz #shorts","sleep music, deep sleep, 528 hz, ocean waves, Rin",,528 Hz · drift off,"Send this to someone who can't sleep. Full 2 h piece on YouTube: Rin.
#sleepmusic #sleep #relaxingmusic #528hz #meditation",pendiente,,,,
