id,tono
OBRA-001,110
OBRA-002,-70
OBRA-003,180
OBRA-004,35
OBRA-005,-110
OBRA-006,0
OBRA-007,70
OBRA-008,150
OBRA-009,110
OBRA-010,110
OBRA-011,-70
OBRA-012,0
OBRA-013,180
OBRA-014,-70
OBRA-015,0
OBRA-016,110
OBRA-017,180
OBRA-018,35
OBRA-019,-110
OBRA-020,0
OBRA-021,70
OBRA-022,150
OBRA-023,-35
OBRA-024,-70
OBRA-025,35
OBRA-026,-35
OBRA-027,180
OBRA-028,-150
OBRA-029,0
OBRA-030,-110
OBRA-031,55
OBRA-032,70
OBRA-033,110
OBRA-034,150
OBRA-035,-70
OBRA-036,-35
OBRA-037,180
OBRA-038,-150
OBRA-039,35
OBRA-040,-150
